Key,English,Portuguese
Menu.Play,Play,Jogar
Menu.Record,Record,Registro
Menu.Rules,Rules,Regras
Menu.Settings,Settings,Configurações
Dif.Easy,Easy,Fácil
Dif.Medium,Medium,Médio
Dif.Hard,Hard,Duro
Dif.Training,Training,Treinamento
Button.Back,Back,Voltar
Record.Score,Best Score,Melhor pontuação
Rules.Instruction,"Throw the basketball into the rings, multiply your points and set records.
Choose the level of the game, they differ in time to play.
Try the practice mode, there you can hone your game skills.","Jogue a bola de basquete nos aros, multiplique seus pontos e estabeleça recordes.
Escolha o nível do jogo, eles diferem na hora de jogar.
Experimente o modo de prática, onde você pode aprimorar suas habilidades de jogo."
Settings.Sound,Sound,Som
Settings.Music,Music,Música
Settings.Eng,English,Português
Rules.Title,How to play,Como jogar
Settings.Language,Language,Linguagem